"id","country","name","sex","president","start_president","end_president","ministry","undersec","start_undersec","end_undersec","party"
166,"Chile","Cristóbal Pascal Cheetham","man","Ricardo Lagos",2000-03-11,2006-03-11,"Trabajo y Previsión Social","Trabajo",2005-04-25,2006-03-11,"PS"
167,"Chile","Lincoyán Zepeda Varas","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Investigaciones",2005-04-25,2006-03-11,"PS"
168,"Chile","Pablo Piñera Echenique","man","Ricardo Lagos",2000-03-11,2006-03-11,"Obras Públicas","Obras Públicas",2005-04-25,2006-03-11,"PDC"
169,"Chile","Jorge Navarrete Poblete","man","Ricardo Lagos",2000-03-11,2006-03-11,"SEGEGOB","SEGEGOB",2005-08-29,2006-03-11,"PDC"
170,"Chile","Gonzalo García Pino","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Marina",2005-10-05,2006-03-11,"PDC"
171,"Chile","Felipe Harboe Bascuñán","man","Michelle Bachelet",2006-03-11,2010-03-11,"Interior","Interior",2006-01-28,2008-12-10,"PPD"
172,"Chile","Neftalí Carabantes Hernández","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Carabineros",2006-01-30,2006-03-11,"PRSD"
173,"Chile","Ana María Correa López","woman","Michelle Bachelet",2006-03-11,2010-03-11,"Economía, Fomento y Reconstrucción","Economía",2006-03-11,2008-01-11,"PDC"
174,"Chile","Carlos Hernández Salas","man","Michelle Bachelet",2006-03-11,2010-03-11,"Economía, Fomento y Reconstrucción","Pesca",2006-03-11,2007-07-12,"PS"
175,"Chile","Carlos Maldonado Curti","man","Michelle Bachelet",2006-03-11,2010-03-11,"SEGEGOB","SEGEGOB",2006-03-11,2007-03-27,"PRSD"
176,"Chile","Carmen Andrade Lara","woman","Michelle Bachelet",2006-03-11,2010-03-11,"SERNAM","SERNAM",2006-03-11,2009-09-19,"PS"
177,"Chile","Carolina Echeverría Moya","woman","Michelle Bachelet",2006-03-11,2010-03-11,"Defensa Nacional","Marina",2006-03-11,2010-03-11,"PPD"
